id,name,lower_bound,upper_bound,stoichiometry,objective_coefficient
R_2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2odecg3p_p', -1.0), ('M_2odecg3p_c', 1.0)])",0
R_2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2odec11eg3p_p', -1.0), ('M_2odec11eg3p_c', 1.0)])",0
R_14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",,,"OrderedDict([('M_14glucan_p', -1.0), ('M_atp_c', -1.0), ('M_h2o_c', -1.0), ('M_14glucan_c', 1.0), ('M_adp_c', 1.0), ('M_h_c', 1.0), ('M_pi_c', 1.0)])",0
R_14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",,,"OrderedDict([('M_14glucan_e', -1.0), ('M_14glucan_p', 1.0)])",0
R_2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe120_p', -1.0), ('M_2agpe120_c', 1.0)])",0
R_3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),,,"OrderedDict([('M_3ocvac11eACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hcvac11eACP_c', 1.0), ('M_nadp_c', 1.0)])",0
R_2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe140_p', -1.0), ('M_2agpe140_c', 1.0)])",0
R_2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe141_p', -1.0), ('M_2agpe141_c', 1.0)])",0
R_3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),,,"OrderedDict([('M_actACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3haACP_c', 1.0), ('M_nadp_c', 1.0)])",0
R_2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe160_p', -1.0), ('M_2agpe160_c', 1.0)])",0
R_3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),,,"OrderedDict([('M_3ohexACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hhexACP_c', 1.0), ('M_nadp_c', 1.0)])",0
R_2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe161_p', -1.0), ('M_2agpe161_c', 1.0)])",0
R_2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe180_p', -1.0), ('M_2agpe180_c', 1.0)])",0
R_2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpe181_p', -1.0), ('M_2agpe181_c', 1.0)])",0
R_2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),,,"OrderedDict([('M_2agpe120_c', -1.0), ('M_atp_c', -1.0), ('M_ddca_c', -1.0), ('M_amp_c', 1.0), ('M_pe120_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_4abut_e', -1.0), ('M_4abut_p', 1.0)])",0
R_ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acac_e', -1.0), ('M_acac_p', 1.0)])",0
R_ACALD,Acetaldehyde dehydrogenase (acetylating),,,"OrderedDict([('M_acald_c', -1.0), ('M_coa_c', -1.0), ('M_nad_c', -1.0), ('M_accoa_c', 1.0), ('M_h_c', 1.0), ('M_nadh_c', 1.0)])",0
R_ACALDtex,Acetaldehyde transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acald_e', -1.0), ('M_acald_p', 1.0)])",0
R_ACALDtpp,Acetaldehyde reversible transport (periplasm),,,"OrderedDict([('M_acald_p', -1.0), ('M_acald_c', 1.0)])",0
R_2AGPEAT140,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),,,"OrderedDict([('M_2agpe140_c', -1.0), ('M_atp_c', -1.0), ('M_ttdca_c', -1.0), ('M_amp_c', 1.0), ('M_pe140_c', 1.0), ('M_ppi_c', 1.0)])",0
R_3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),,,"OrderedDict([('M_3ooctACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hoctACP_c', 1.0), ('M_nadp_c', 1.0)])",0
R_2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),,,"OrderedDict([('M_2agpe141_c', -1.0), ('M_atp_c', -1.0), ('M_ttdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pe141_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),,,"OrderedDict([('M_2agpe160_c', -1.0), ('M_atp_c', -1.0), ('M_hdca_c', -1.0), ('M_amp_c', 1.0), ('M_pe160_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,,,"OrderedDict([('M_adocbip_c', -1.0), ('M_gtp_c', -1.0), ('M_h_c', -1.0), ('M_agdpcbi_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACCOAC,Acetyl-CoA carboxylase,,,"OrderedDict([('M_accoa_c', -1.0), ('M_atp_c', -1.0), ('M_hco3_c', -1.0), ('M_adp_c', 1.0), ('M_h_c', 1.0), ('M_malcoa_c', 1.0), ('M_pi_c', 1.0)])",0
R_2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),,,"OrderedDict([('M_2agpe161_c', -1.0), ('M_atp_c', -1.0), ('M_hdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pe161_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACCOAL,Acetate-CoA ligase (ADP-forming),,,"OrderedDict([('M_atp_c', -1.0), ('M_coa_c', -1.0), ('M_ppa_c', -1.0), ('M_adp_c', 1.0), ('M_pi_c', 1.0), ('M_ppcoa_c', 1.0)])",0
R_3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),,,"OrderedDict([('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_ocACP_c', -1.0), ('M_3odecACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACGAL1PPpp,N-acetyl-D-galactosamine 1-phosphatase (periplasm),,,"OrderedDict([('M_acgal1p_p', -1.0), ('M_h2o_p', -1.0), ('M_acgal_p', 1.0), ('M_pi_p', 1.0)])",0
R_2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),,,"OrderedDict([('M_2agpe180_c', -1.0), ('M_atp_c', -1.0), ('M_ocdca_c', -1.0), ('M_amp_c', 1.0), ('M_pe180_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),,,"OrderedDict([('M_2agpe181_c', -1.0), ('M_atp_c', -1.0), ('M_ocdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pe181_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg120_p', -1.0), ('M_2agpg120_c', 1.0)])",0
R_ACGAL1Ptex,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acgal1p_e', -1.0), ('M_acgal1p_p', 1.0)])",0
R_3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),,,"OrderedDict([('M_dcaACP_c', -1.0), ('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_3oddecACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACGALtex,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acgal_e', -1.0), ('M_acgal_p', 1.0)])",0
R_ACGAM1PPpp,N-acetyl-D-glucosamine 1-phosphatase (periplasm),,,"OrderedDict([('M_acgam1p_p', -1.0), ('M_h2o_p', -1.0), ('M_acgam_p', 1.0), ('M_pi_p', 1.0)])",0
R_2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg140_p', -1.0), ('M_2agpg140_c', 1.0)])",0
R_2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg141_p', -1.0), ('M_2agpg141_c', 1.0)])",0
R_2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg160_p', -1.0), ('M_2agpg160_c', 1.0)])",0
R_ACGAM1Ptex,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acgam1p_e', -1.0), ('M_acgam1p_p', 1.0)])",0
R_ACGAMK,N-acetylglucosamine kinase,,,"OrderedDict([('M_acgam_c', -1.0), ('M_atp_c', -1.0), ('M_acgam6p_c', 1.0), ('M_adp_c', 1.0), ('M_h_c', 1.0)])",0
R_ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,,,"OrderedDict([('M_uacgam_c', -1.0), ('M_udcpp_c', -1.0), ('M_ump_c', 1.0), ('M_unaga_c', 1.0)])",0
R_2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg161_p', -1.0), ('M_2agpg161_c', 1.0)])",0
R_2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg180_p', -1.0), ('M_2agpg180_c', 1.0)])",0
R_2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),,,"OrderedDict([('M_2agpg181_p', -1.0), ('M_2agpg181_c', 1.0)])",0
R_ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),,,"OrderedDict([('M_acgam_p', -1.0), ('M_pep_c', -1.0), ('M_acgam6p_c', 1.0), ('M_pyr_c', 1.0)])",0
R_ACGAtex,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acgam_e', -1.0), ('M_acgam_p', 1.0)])",0
R_2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),,,"OrderedDict([('M_2agpg120_c', -1.0), ('M_atp_c', -1.0), ('M_ddca_c', -1.0), ('M_amp_c', 1.0), ('M_pg120_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACGK,Acetylglutamate kinase,,,"OrderedDict([('M_acglu_c', -1.0), ('M_atp_c', -1.0), ('M_acg5p_c', 1.0), ('M_adp_c', 1.0)])",0
R_2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),,,"OrderedDict([('M_2agpg140_c', -1.0), ('M_atp_c', -1.0), ('M_ttdca_c', -1.0), ('M_amp_c', 1.0), ('M_pg140_c', 1.0), ('M_ppi_c', 1.0)])",0
R_3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),,,"OrderedDict([('M_cdec3eACP_c', -1.0), ('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_3ocddec5eACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),,,"OrderedDict([('M_2agpg141_c', -1.0), ('M_atp_c', -1.0), ('M_ttdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pg141_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),,,"OrderedDict([('M_2agpg160_c', -1.0), ('M_atp_c', -1.0), ('M_hdca_c', -1.0), ('M_amp_c', 1.0), ('M_pg160_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACGS,N-acetylglutamate synthase,,,"OrderedDict([('M_accoa_c', -1.0), ('M_glu__L_c', -1.0), ('M_acglu_c', 1.0), ('M_coa_c', 1.0), ('M_h_c', 1.0)])",0
R_ACHBS,2-aceto-2-hydroxybutanoate synthase,,,"OrderedDict([('M_2obut_c', -1.0), ('M_h_c', -1.0), ('M_pyr_c', -1.0), ('M_2ahbut_c', 1.0), ('M_co2_c', 1.0)])",0
R_3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),,,"OrderedDict([('M_ddcaACP_c', -1.0), ('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_3omrsACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACKr,Acetate kinase,,,"OrderedDict([('M_ac_c', -1.0), ('M_atp_c', -1.0), ('M_actp_c', 1.0), ('M_adp_c', 1.0)])",0
R_ACLS,Acetolactate synthase,,,"OrderedDict([('M_h_c', -1.0), ('M_pyr_c', -2.0), ('M_alac__S_c', 1.0), ('M_co2_c', 1.0)])",0
R_2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),,,"OrderedDict([('M_2agpg161_c', -1.0), ('M_atp_c', -1.0), ('M_hdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pg161_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),,,"OrderedDict([('M_2agpg180_c', -1.0), ('M_atp_c', -1.0), ('M_ocdca_c', -1.0), ('M_amp_c', 1.0), ('M_pg180_c', 1.0), ('M_ppi_c', 1.0)])",0
R_2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),,,"OrderedDict([('M_2agpg181_c', -1.0), ('M_atp_c', -1.0), ('M_ocdcea_c', -1.0), ('M_amp_c', 1.0), ('M_pg181_c', 1.0), ('M_ppi_c', 1.0)])",0
R_ACM6PH,N-acetylmuramate 6-phosphate hydrolase,,,"OrderedDict([('M_acmum6p_c', -1.0), ('M_h2o_c', -1.0), ('M_acgam6p_c', 1.0), ('M_lac__D_c', 1.0)])",0
R_3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),,,"OrderedDict([('M_cddec5eACP_c', -1.0), ('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_3ocmrs7eACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,,,"OrderedDict([('M_uacmamu_c', -1.0), ('M_unaga_c', -1.0), ('M_h_c', 1.0), ('M_udp_c', 1.0), ('M_unagamu_c', 1.0)])",0
R_3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),,,"OrderedDict([('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_myrsACP_c', -1.0), ('M_3opalmACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACMANAptspp,N-acetyl-D-mannosamine transport via PTS  (periplasm),,,"OrderedDict([('M_acmana_p', -1.0), ('M_pep_c', -1.0), ('M_acmanap_c', 1.0), ('M_pyr_c', 1.0)])",0
R_3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),,,"OrderedDict([('M_h_c', -1.0), ('M_malACP_c', -1.0), ('M_tdeACP_c', -1.0), ('M_3ocpalm9eACP_c', 1.0), ('M_ACP_c', 1.0), ('M_co2_c', 1.0)])",0
R_ACMANAtex,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acmana_e', -1.0), ('M_acmana_p', 1.0)])",0
R_ACMUMtex,N-acetylmuramate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acmum_e', -1.0), ('M_acmum_p', 1.0)])",0
R_2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),,,"OrderedDict([('M_2dhglcn_c', -1.0), ('M_h_c', -1.0), ('M_nadh_c', -1.0), ('M_glcn_c', 1.0), ('M_nad_c', 1.0)])",0
R_2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),,,"OrderedDict([('M_2dhglcn_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_glcn_c', 1.0), ('M_nadp_c', 1.0)])",0
R_2DGULRx,2-dehydro-L-gulonate reductase (NADH),,,"OrderedDict([('M_2dhguln_c', -1.0), ('M_h_c', -1.0), ('M_nadh_c', -1.0), ('M_idon__L_c', 1.0), ('M_nad_c', 1.0)])",0
R_2DGULRy,2-dehydro-L-gulonate reductase (NADPH),,,"OrderedDict([('M_2dhguln_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_idon__L_c', 1.0), ('M_nadp_c', 1.0)])",0
R_ACNAMt2pp,N-acetylneuraminate proton symport (periplasm),,,"OrderedDict([('M_acnam_p', -1.0), ('M_h_p', -1.0), ('M_acnam_c', 1.0), ('M_h_c', 1.0)])",0
R_ACNAMtex,N-acetylneuraminate transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_acnam_e', -1.0), ('M_acnam_p', 1.0)])",0
R_ACNML,N-Acetylneuraminate lyase,,,"OrderedDict([('M_acnam_c', -1.0), ('M_acmana_c', 1.0), ('M_pyr_c', 1.0)])",0
